word,count
energy,495
gas,202
project,117
storage,105
hydrogen,103
power,100
us,98
green,96
bess,78
españa,77
european,73
wind,71
solar,70
energia,68
italia,66
biomass,64
oil,62
global,59
first,59
plant,59
projects,57
natural,57
ue,56
lng,56
deal,54
australia,54
renewable,53
million,51
data,50
battery,50
nuclear,47
saf,47
red,46
supply,46
clean,46
biomethane,44
commission,42
verde,41
uk,41
offshore,41
des,40
rinnovabili,35
demand,35
iaea,35
eléctrica,34
africa,34
sector,34
agreement,34
regulation,33
council,32
group,32
renovables,31
energía,30
transizione,30
renewables,30
et,30
iberdrola,29
mw,29
industry,29
support,29
europe,29
market,29
europa,28
signs,28
security,27
world,27
electricity,27
union,27
investment,27
according,27
climate,27
plan,26
production,26
china,26
10,26
ia,26
italy,26
2030,25
germany,25
gobierno,24
key,24
set,24
fuel,24
largest,24
governo,24
pour,24
euros,23
